created_at,tweet_content,keyword,user_location,entities
2021-09-21 23:37:09,igualzinho army que ficava reclamando que o bts tava proximo de se alistar em 2016,BTS,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-21 23:37:09,bts tá tão pobre que não tem wi-fi bom,BTS,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-21 23:37:09,Só sou bi por causa do bts se não seria sapatão,BTS,she ✿ her,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 's3okjiniewluv', 'name': '♡̼Isa quer her O dos namkook ʾʾ ׅ ⭒.', 'id': 1351291438663933957, 'id_str': '1351291438663933957', 'indices': [3, 17]}], 'symbols': []}"
2021-09-21 23:37:10,"My Universe (Coldplay x BTS) vai estar disponível já nessa sexta-feira (às 01h da madrugada, de quinta para sexta) em todas as plataformas do mundo todo. 

Como de costume, estaremos aqui apoiando o BTS e compartilhando infos e playlists com vocês. Yay! 💜",BTS, 𝗺𝗮𝗴𝗶𝗰 𝘀𝗵𝗼𝗽.♡,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'BTSPurpleBullet', 'name': 'Purple Bullet ⁷', 'id': 1160039864370454533, 'id_str': '1160039864370454533', 'indices': [3, 19]}], 'symbols': []}"
2021-09-21 23:37:11,"os membros do bts são tao lindinhas

pena q sao homens kkk",BTS,Marte,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-21 23:37:12,"21.09.21 - dia que o BTS tava usando uma internet 3G e a live caiu 4 vezes. 
eu fui, eu tava!",BTS,None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'stgmvante', 'name': 'mands ៹', 'id': 1201120316040368128, 'id_str': '1201120316040368128', 'indices': [3, 13]}], 'symbols': []}"
2021-09-21 23:37:12,James Corden se tornou apenas MAIS UM dos INÚMEROS famosos que só USARAM o BTS por ibope. Por isso eu espero que ele enfie no CU o baby/papa mochi e TODAS essas falas PRECONCEITUOSAS dele,BTS,"Ananindeua, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'saturnendipity', 'name': 'SAMY. 🪐', 'id': 1323249996934905857, 'id_str': '1323249996934905857', 'indices': [3, 18]}], 'symbols': []}"
2021-09-21 23:37:14,"My Universe (Coldplay x BTS) vai estar disponível já nessa sexta-feira (às 01h da madrugada, de quinta para sexta) em todas as plataformas do mundo todo. 

Como de costume, estaremos aqui apoiando o BTS e compartilhando infos e playlists com vocês. Yay! 💜",BTS,She/Her,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'BTSPurpleBullet', 'name': 'Purple Bullet ⁷', 'id': 1160039864370454533, 'id_str': '1160039864370454533', 'indices': [3, 19]}], 'symbols': []}"
2021-09-21 23:37:14,"o melhor de tudo é quando você se identifica com seus favs, Bts eu te entendo tbm tento umas 3 vezes e depois desisti das coisas, e tá tudo bem.",BTS,‣  春 ᨒ Y𝒐𝒖 m𝗮ke m𝙚 sᴍɪʟᴇ ♡,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'sugacrap', 'name': ""morg.yoon's girlfriend"", 'id': 3003825317, 'id_str': '3003825317', 'indices': [3, 12]}], 'symbols': []}"
2021-09-21 23:37:15,"o james corden, que apelidou o jimin de baby mochi e sempre demonstrou gostar dos meninos, soltou falas extremamente desnecessárias sobre a presença do bts na ONU, dizendo que eram presenças incomuns e limitando o nosso fandom a ""garotas de 15 anos""",BTS,Bad bitch,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
